Assembly	scaffolds
# contigs (>= 1000 bp)	16
# contigs (>= 5000 bp)	12
# contigs (>= 10000 bp)	11
# contigs (>= 25000 bp)	10
# contigs (>= 50000 bp)	6
Total length (>= 1000 bp)	973912
Total length (>= 5000 bp)	968605
Total length (>= 10000 bp)	963139
Total length (>= 25000 bp)	949972
Total length (>= 50000 bp)	826631
# contigs	24
Largest contig	208409
Total length	979516
Reference length	4641652
GC (%)	50.64
Reference GC (%)	50.78
N50	131825
N75	109022
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 10 part
Unaligned length	908493
Genome fraction (%)	1.524
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	2098.70
# indels per 100 kbp	2.83
Largest alignment	28421
NGA50	-
