Acidobacterium_capsulatum_ATCC_51196_0970 quast_consensus	['85.358']
Acidobacterium_capsulatum_ATCC_51196_ancestor quast_consensus	['84.462']
Acidobacterium_capsulatum_ATCC_51196_0970 quast_strain	['81.233']
Acidobacterium_capsulatum_ATCC_51196_ancestor quast_strain	['80.893']
Aeropyrum_pernix_0970 quast_consensus	['85.135']
Aeropyrum_pernix_ancestor quast_consensus	['85.746']
Aeropyrum_pernix_0970 quast_strain	['81.034']
Aeropyrum_pernix_ancestor quast_strain	['81.909']
Aquifex_aeolicus_0970 quast_consensus	['85.332']
Aquifex_aeolicus_ancestor quast_consensus	['83.786']
Aquifex_aeolicus_0970 quast_strain	['81.853']
Aquifex_aeolicus_ancestor quast_strain	['80.240']
Archaeoglobus_fulgidus_0970 quast_consensus	['85.791']
Archaeoglobus_fulgidus_ancestor quast_consensus	['84.039']
Archaeoglobus_fulgidus_0970 quast_strain	['82.071']
Archaeoglobus_fulgidus_ancestor quast_strain	['80.881']
Bacillus_anthracis_str._Ames_0970 quast_consensus	['83.877']
Bacillus_anthracis_str._Ames_ancestor quast_consensus	['83.237']
Bacillus_anthracis_str._Ames_ancestor quast_strain	['78.962']
Bacillus_anthracis_str._Ames_0970 quast_strain	['79.405']
Bacillus_cereus_ATCC_10987_ancestor quast_consensus	['82.427']
Bacillus_cereus_ATCC_10987_0970 quast_consensus	['83.300']
Bacillus_cereus_ATCC_10987_0970 quast_strain	['78.734']
Bacillus_cereus_ATCC_10987_ancestor quast_strain	['77.714']
Bacillus_cereus_ATCC_14579_ancestor quast_consensus	['82.704']
Bacillus_cereus_ATCC_14579_0970 quast_consensus	['83.798']
Bacillus_cereus_ATCC_14579_ancestor quast_strain	['78.201']
Bacillus_cereus_ATCC_14579_0970 quast_strain	['79.304']
Bacillus_halodurans_0970 quast_consensus	['84.570']
Bacillus_halodurans_ancestor quast_consensus	['81.819']
Bacillus_halodurans_ancestor quast_strain	['78.334']
Bacillus_halodurans_0970 quast_strain	['80.816']
Bacillus_subtilis_ancestor quast_consensus	['84.364']
Bacillus_subtilis_0970 quast_consensus	['85.083']
Bacillus_subtilis_ancestor quast_strain	['80.853']
Bacillus_subtilis_0970 quast_strain	['81.779']
Bacteroides_thetaiotaomicron_ancestor quast_consensus	['83.758']
Bacteroides_thetaiotaomicron_0970 quast_consensus	['84.684']
Bacteroides_thetaiotaomicron_ancestor quast_strain	['80.072']
Bacteroides_thetaiotaomicron_0970 quast_strain	['81.047']
Bdellovibrio_bacteriovorus_0970 quast_consensus	['84.849']
Bdellovibrio_bacteriovorus_ancestor quast_consensus	['85.316']
Bdellovibrio_bacteriovorus_ancestor quast_strain	['81.471']
Bdellovibrio_bacteriovorus_0970 quast_strain	['81.997']
Bifidobacterium_longum_0970 quast_consensus	['84.354']
Bifidobacterium_longum_ancestor quast_consensus	['82.266']
Bifidobacterium_longum_ancestor quast_strain	['79.336']
Bifidobacterium_longum_0970 quast_strain	['80.261']
Bordetella_bronchiseptica_ancestor quast_consensus	['81.064']
Bordetella_bronchiseptica_0970 quast_consensus	['83.212']
Bordetella_bronchiseptica_ancestor quast_strain	['76.394']
Bordetella_bronchiseptica_0970 quast_strain	['78.307']
Bordetella_parapertussis_0970 quast_consensus	['83.559']
Bordetella_parapertussis_ancestor quast_consensus	['82.810']
Bordetella_parapertussis_0970 quast_strain	['79.406']
Bordetella_parapertussis_ancestor quast_strain	['78.111']
Bordetella_pertussis_0970 quast_consensus	['80.960']
Bordetella_pertussis_ancestor quast_consensus	['77.519']
Bordetella_pertussis_0970 quast_strain	['76.341']
Bordetella_pertussis_ancestor quast_strain	['72.908']
Borrelia_burgdorferi_ancestor quast_consensus	['82.243']
Borrelia_burgdorferi_0970 quast_consensus	['81.145']
Borrelia_burgdorferi_ancestor quast_strain	['76.983']
Borrelia_burgdorferi_0970 quast_strain	['73.785']
Bradyrhizobium_japonicum_ancestor quast_consensus	['83.624']
Bradyrhizobium_japonicum_0970 quast_consensus	['84.202']
Bradyrhizobium_japonicum_ancestor quast_strain	['79.363']
Bradyrhizobium_japonicum_0970 quast_strain	['79.514']
Buchnera_aphidicola_Acyrthosiphon_pisum_ancestor quast_consensus	['89.397']
Buchnera_aphidicola_Acyrthosiphon_pisum_ancestor quast_strain	['89.397']
Buchnera_aphidicola_Baizongia_pistaciae_ancestor quast_consensus	['90.169']
Buchnera_aphidicola_Baizongia_pistaciae_ancestor quast_strain	['90.169']
Buchnera_aphidicola_Schizaphis_graminum_0970 quast_consensus	['88.152']
Buchnera_aphidicola_Schizaphis_graminum_0970 quast_strain	['88.152']
Caenorhabditis_briggsae_ancestor quast_consensus	['75.117']
Caenorhabditis_briggsae_0970 quast_consensus	['79.807']
Caenorhabditis_briggsae_ancestor quast_strain	['71.029']
Caenorhabditis_briggsae_0970 quast_strain	['75.929']
Campylobacter_jejuni_0970 quast_consensus	['82.782']
Campylobacter_jejuni_ancestor quast_consensus	['83.370']
Campylobacter_jejuni_ancestor quast_strain	['78.144']
Campylobacter_jejuni_0970 quast_strain	['76.867']
Candidatus_Blochmannia_floridanus_ancestor quast_consensus	['83.703']
Candidatus_Blochmannia_floridanus_0970 quast_consensus	['82.935']
Candidatus_Blochmannia_floridanus_ancestor quast_strain	['77.201']
Candidatus_Blochmannia_floridanus_0970 quast_strain	['76.302']
Caulobacter_vibrioides_ancestor quast_consensus	['83.187']
Caulobacter_vibrioides_0970 quast_consensus	['83.235']
Caulobacter_vibrioides_ancestor quast_strain	['78.547']
Caulobacter_vibrioides_0970 quast_strain	['78.730']
Chlamydia_muridarum_0970 quast_consensus	['84.633']
Chlamydia_muridarum_ancestor quast_consensus	['85.369']
Chlamydia_muridarum_ancestor quast_strain	['80.849']
Chlamydia_muridarum_0970 quast_strain	['81.424']
Chlamydia_trachomatis_ancestor quast_consensus	['84.594']
Chlamydia_trachomatis_0970 quast_consensus	['84.621']
Chlamydia_trachomatis_0970 quast_strain	['81.435']
Chlamydia_trachomatis_ancestor quast_strain	['80.271']
Chlamydophila_caviae_0970 quast_consensus	['84.274']
Chlamydophila_caviae_ancestor quast_consensus	['85.678']
Chlamydophila_caviae_0970 quast_strain	['81.082']
Chlamydophila_caviae_ancestor quast_strain	['81.284']
Chlamydophila_pneumoniae_AR39_ancestor quast_consensus	['84.139']
Chlamydophila_pneumoniae_AR39_0970 quast_consensus	['84.285']
Chlamydophila_pneumoniae_AR39_ancestor quast_strain	['80.314']
Chlamydophila_pneumoniae_AR39_0970 quast_strain	['79.199']
Chlamydophila_pneumoniae_CWL029_0970 quast_consensus	['86.219']
Chlamydophila_pneumoniae_CWL029_ancestor quast_consensus	['86.824']
Chlamydophila_pneumoniae_CWL029_ancestor quast_strain	['81.642']
Chlamydophila_pneumoniae_CWL029_0970 quast_strain	['82.665']
Chlamydophila_pneumoniae_TW-183_ancestor quast_consensus	['84.459']
Chlamydophila_pneumoniae_TW-183_0970 quast_consensus	['84.646']
Chlamydophila_pneumoniae_TW-183_0970 quast_strain	['80.829']
Chlamydophila_pneumoniae_TW-183_ancestor quast_strain	['80.253']
Chlorobaculum_tepidum_0970 quast_consensus	['84.440']
Chlorobaculum_tepidum_ancestor quast_consensus	['83.840']
Chlorobaculum_tepidum_ancestor quast_strain	['80.389']
Chlorobaculum_tepidum_0970 quast_strain	['81.076']
Chromobacterium_violaceum_0970 quast_consensus	['83.682']
Chromobacterium_violaceum_ancestor quast_consensus	['82.584']
Chromobacterium_violaceum_0970 quast_strain	['79.141']
Chromobacterium_violaceum_ancestor quast_strain	['78.045']
Clostridium_acetobutylicum_0970 quast_consensus	['83.333']
Clostridium_acetobutylicum_ancestor quast_consensus	['81.600']
Clostridium_acetobutylicum_ancestor quast_strain	['76.411']
Clostridium_acetobutylicum_0970 quast_strain	['78.454']
Clostridium_perfringens_ancestor quast_consensus	['82.357']
Clostridium_perfringens_0970 quast_consensus	['83.574']
Clostridium_perfringens_ancestor quast_strain	['76.392']
Clostridium_perfringens_0970 quast_strain	['78.194']
Clostridium_tetani_ancestor quast_consensus	['83.016']
Clostridium_tetani_0970 quast_consensus	['83.053']
Clostridium_tetani_0970 quast_strain	['77.570']
Clostridium_tetani_ancestor quast_strain	['77.390']
Corynebacterium_diphtheriae_ancestor quast_consensus	['83.251']
