Assembly	final.contigs
# contigs (>= 0 bp)	269
# contigs (>= 1000 bp)	258
Total length (>= 0 bp)	3709443
Total length (>= 1000 bp)	3701411
# contigs	269
Largest contig	58143
Total length	3709443
Reference length	1892775
GC (%)	32.26
Reference GC (%)	32.27
N50	21298
NG50	32823
N75	12857
NG75	26145
L50	59
LG50	24
L75	113
LG75	40
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	115 + 50 part
Unaligned length	1804479
Genome fraction (%)	99.761
Duplication ratio	1.009
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.69
# indels per 100 kbp	0.00
Largest alignment	50661
NA50	4795
NGA50	28639
NGA75	18071
LA50	88
LGA50	26
LGA75	47
