Assembly	contigs
# contigs (>= 0 bp)	603
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	183567
Total length (>= 1000 bp)	19018
Total length (>= 5000 bp)	5665
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	5665
Total length	25093
Reference length	4641652
GC (%)	52.25
Reference GC (%)	50.79
N50	1496
N75	1031
L50	5
L75	10
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	8595
# local misassemblies	0
# unaligned contigs	0 + 3 part
Unaligned length	164
Genome fraction (%)	0.537
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1143.48
# indels per 100 kbp	20.06
Largest alignment	5541
NA50	1394
NGA50	-
NA75	940
LA50	5
LA75	11
