Assembly	final.contigs
# contigs (>= 1000 bp)	339
# contigs (>= 5000 bp)	244
# contigs (>= 10000 bp)	156
# contigs (>= 25000 bp)	60
# contigs (>= 50000 bp)	6
Total length (>= 1000 bp)	4661955
Total length (>= 5000 bp)	4384441
Total length (>= 10000 bp)	3732404
Total length (>= 25000 bp)	2257347
Total length (>= 50000 bp)	391967
# contigs	356
Largest contig	81775
Total length	4674811
Reference length	4641652
GC (%)	50.79
Reference GC (%)	50.79
N50	21936
NG50	23578
N75	11700
NG75	12028
L50	64
LG50	63
L75	136
LG75	133
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.951
Duplication ratio	1.008
# N's per 100 kbp	0.00
# mismatches per 100 kbp	9.85
# indels per 100 kbp	0.00
Largest alignment	81775
NA50	21936
NGA50	23576
NA75	11700
NGA75	12028
LA50	64
LGA50	63
LA75	136
LGA75	133
